id,name,price,original_price,category,emoji,image_url,desc,rating,reviews,badge,in_stock,stock,views,bundle
4,Premium Cotton T-Shirt — XL,450,600,clothing,👕,,Ultra-soft 100% combed cotton. Pre-shrunk. Size XL.,4.8,124,sale,TRUE,2,18,"1,26"
5,Premium Cotton T-Shirt — XXL,450,600,clothing,👕,,Ultra-soft 100% combed cotton. Pre-shrunk. Size XXL.,4.8,124,sale,TRUE,9,22,"1,28"
6,Running Sneakers (EU 38),2500,2500,footwear,👟,,Lightweight EVA sole with breathable mesh upper. EU 38.,4.9,87,hot,TRUE,4,67,"16,23"
7,Running Sneakers (EU 39),1800,2500,footwear,👟,,Lightweight EVA sole with breathable mesh upper. EU 39.,4.9,87,hot,TRUE,11,43,"16,23"
8,Running Sneakers (EU 40),1800,2500,footwear,👟,,Lightweight EVA sole with breathable mesh upper. EU 40.,4.9,87,hot,TRUE,2,88,"16,20"
9,Running Sneakers (EU 41),1800,2500,footwear,👟,,Lightweight EVA sole with breathable mesh upper. EU 41.,4.9,87,hot,TRUE,6,71,"16,20"
10,Running Sneakers (EU 42),1800,2500,footwear,👟,,Lightweight EVA sole with breathable mesh upper. EU 42.,4.9,87,hot,TRUE,1,94,"16,21"
11,Running Sneakers (EU 43),1800,2500,footwear,👟,,Lightweight EVA sole with breathable mesh upper. EU 43.,4.9,87,hot,TRUE,8,55,"16,22"
12,Running Sneakers (EU 44),1800,2500,footwear,👟,,Lightweight EVA sole with breathable mesh upper. EU 44.,4.9,87,hot,TRUE,5,38,"16,22"
13,Genuine Leather Handbag — Black,1200,,accessories,👜,,Full-grain genuine leather. Black.,4.7,56,new,TRUE,15,42,"29,16"
14,Genuine Leather Handbag — Brown,1200,,accessories,👜,,Full-grain genuine leather. Brown.,4.7,56,new,TRUE,3,33,"30,16"
15,Genuine Leather Handbag — Tan,1200,,accessories,👜,,Full-grain genuine leather. Tan.,4.7,56,new,TRUE,7,27,"29,16"
16,UV400 Polarized Sunglasses,380,550,accessories,🕶️,,Polarized UV400 protection. Unisex design. Includes hard case.,4.6,203,sale,TRUE,20,112,"6,1"
17,Smart Watch Pro — Black,2800,3500,electronics,⌚,,"1.4"" AMOLED heart rate SpO2 7-day battery. Black finish.",4.8,341,hot,TRUE,2,143,"23,20"
18,Smart Watch Pro — Silver,2800,3500,electronics,⌚,,"1.4"" AMOLED heart rate SpO2 7-day battery. Silver finish.",4.8,341,hot,TRUE,5,98,"23,21"
19,Smart Watch Pro — Rose Gold,2800,3500,electronics,⌚,,"1.4"" AMOLED heart rate SpO2 7-day battery. Rose gold finish.",4.8,341,hot,TRUE,3,87,"23,22"
20,Laptop Backpack 30L — Black,1100,,accessories,🎒,,"30L padded 15.6"" laptop slot USB-C charge port. Black.",4.7,178,new,TRUE,10,76,"17,23"
21,Laptop Backpack 30L — Navy,1100,,accessories,🎒,,"30L padded 15.6"" laptop slot USB-C charge port. Navy.",4.7,178,new,TRUE,6,54,"18,23"
22,Laptop Backpack 30L — Olive,1100,,accessories,🎒,,"30L padded 15.6"" laptop slot USB-C charge port. Olive.",4.7,178,new,TRUE,4,41,"19,23"
23,True Wireless Earbuds — Black,950,1400,electronics,🎧,,30h total battery ANC IPX5. Black.,4.5,92,sale,TRUE,8,63,"17,20"
24,True Wireless Earbuds — White,950,1400,electronics,🎧,,30h total battery ANC IPX5. White.,4.5,92,sale,TRUE,2,49,"18,21"
25,Linen Kurta — S,680,850,clothing,👘,,Premium linen blend. Traditional cut. Size S.,4.9,215,,TRUE,9,88,"1,16"
26,Linen Kurta — M,680,850,clothing,👘,,Premium linen blend. Traditional cut. Size M.,4.9,215,,TRUE,12,102,"2,16"
27,Linen Kurta — L,680,850,clothing,👘,,Premium linen blend. Traditional cut. Size L.,4.9,215,,TRUE,7,79,"3,16"
28,Linen Kurta — XL,680,850,clothing,👘,,Premium linen blend. Traditional cut. Size XL.,4.9,215,,TRUE,3,56,"4,16"
29,Slim Leather Wallet — Black,550,700,accessories,👛,,Slim genuine leather bifold. RFID blocking. Black.,4.8,144,new,FALSE,0,38,"13,16"
30,Slim Leather Wallet — Brown,550,700,accessories,👛,,Slim genuine leather bifold. RFID blocking. Brown.,4.8,144,new,FALSE,0,29,"14,16"
31,Canvas Slip-On — White,650,,footwear,👟,,Classic canvas. Flexible rubber sole. White.,4.6,67,,TRUE,14,45,"16,1"
32,Canvas Slip-On — Black,650,,footwear,👟,,Classic canvas. Flexible rubber sole. Black.,4.6,67,,TRUE,5,61,"16,2"
33,Canvas Slip-On — Red,650,,footwear,👟,,Classic canvas. Flexible rubber sole. Red.,4.6,67,,TRUE,2,33,"16,3"
34,Canvas Slip-On — Navy,650,,footwear,👟,,Classic canvas. Flexible rubber sole. Navy.,4.6,67,,TRUE,8,52,"16,4"
