id,name,price,original_price,category,image_urls,desc,badge,in_stock,views,bundle,variations
1,Premium Cotton T-Shirt — S,590,600,clothing,,Ultra-soft 100% combed cotton. Pre-shrunk. Size S.,sale,TRUE,34,"2,16",
2,Premium Cotton T-Shirt — M,450,600,clothing,,Ultra-soft 100% combed cotton. Pre-shrunk. Size M.,sale,TRUE,51,"1,16",
3,Premium Cotton T-Shirt — L,450,600,clothing,,Ultra-soft 100% combed cotton. Pre-shrunk. Size L.,sale,TRUE,29,"1,25",
4,Premium Cotton T-Shirt — XL,450,600,clothing,,Ultra-soft 100% combed cotton. Pre-shrunk. Size XL.,sale,TRUE,18,"1,26",
5,Premium Cotton T-Shirt — XXL,450,600,clothing,,Ultra-soft 100% combed cotton. Pre-shrunk. Size XXL.,sale,TRUE,22,"1,28",
6,Running Sneakers (EU 38),2500,2500,footwear,,Lightweight EVA sole with breathable mesh upper. EU 38.,hot,TRUE,67,"16,23",
7,Running Sneakers (EU 39),1800,2500,footwear,,Lightweight EVA sole with breathable mesh upper. EU 39.,hot,TRUE,43,"16,23",
8,Running Sneakers (EU 40),1800,2500,footwear,,Lightweight EVA sole with breathable mesh upper. EU 40.,hot,TRUE,88,"16,20",
9,Running Sneakers (EU 41),1800,2500,footwear,,Lightweight EVA sole with breathable mesh upper. EU 41.,hot,TRUE,71,"16,20",
10,Running Sneakers (EU 42),1800,2500,footwear,,Lightweight EVA sole with breathable mesh upper. EU 42.,hot,TRUE,94,"16,21",
11,Running Sneakers (EU 43),1800,2500,footwear,,Lightweight EVA sole with breathable mesh upper. EU 43.,hot,TRUE,55,"16,22",
12,Running Sneakers (EU 44),1800,2500,footwear,,Lightweight EVA sole with breathable mesh upper. EU 44.,hot,TRUE,38,"16,22",
13,Genuine Leather Handbag — Black,1200,,accessories,,Full-grain genuine leather. Black.,new,TRUE,42,"29,16",
14,Genuine Leather Handbag — Brown,1200,,accessories,,Full-grain genuine leather. Brown.,new,TRUE,33,"30,16",
15,Genuine Leather Handbag — Tan,1200,,accessories,,Full-grain genuine leather. Tan.,new,TRUE,27,"29,16",
16,UV400 Polarized Sunglasses,380,550,accessories,,Polarized UV400 protection. Unisex design. Includes hard case.,sale,TRUE,112,"6,1",
17,Smart Watch Pro — Black,2800,3500,electronics,,"1.4"" AMOLED heart rate SpO2 7-day battery. Black finish.",hot,TRUE,143,"23,20",
18,Smart Watch Pro — Silver,2800,3500,electronics,,"1.4"" AMOLED heart rate SpO2 7-day battery. Silver finish.",hot,TRUE,98,"23,21",
19,Smart Watch Pro — Rose Gold,2800,3500,electronics,,"1.4"" AMOLED heart rate SpO2 7-day battery. Rose gold finish.",hot,TRUE,87,"23,22",
20,Laptop Backpack 30L — Black,1100,,accessories,,"30L padded 15.6"" laptop slot USB-C charge port. Black.",new,TRUE,76,"17,23",
21,Laptop Backpack 30L — Navy,1100,,accessories,,"30L padded 15.6"" laptop slot USB-C charge port. Navy.",new,TRUE,54,"18,23",
22,Laptop Backpack 30L — Olive,1100,,accessories,,"30L padded 15.6"" laptop slot USB-C charge port. Olive.",new,TRUE,41,"19,23",
23,True Wireless Earbuds — Black,950,1400,electronics,,30h total battery ANC IPX5. Black.,sale,TRUE,63,"17,20",
24,True Wireless Earbuds — White,950,1400,electronics,,30h total battery ANC IPX5. White.,sale,TRUE,49,"18,21",
25,Linen Kurta — S,680,850,clothing,,Premium linen blend. Traditional cut. Size S.,,TRUE,88,"1,16",
26,Linen Kurta — M,680,850,clothing,,Premium linen blend. Traditional cut. Size M.,,TRUE,102,"2,16",
27,Linen Kurta — L,680,850,clothing,,Premium linen blend. Traditional cut. Size L.,,TRUE,79,"3,16",
28,Linen Kurta — XL,680,850,clothing,,Premium linen blend. Traditional cut. Size XL.,,TRUE,56,"4,16",
29,Slim Leather Wallet — Black,550,700,accessories,,Slim genuine leather bifold. RFID blocking. Black.,new,FALSE,38,"13,16",
30,Slim Leather Wallet — Brown,550,700,accessories,,Slim genuine leather bifold. RFID blocking. Brown.,new,FALSE,29,"14,16",
31,Canvas Slip-On — White,650,,footwear,,Classic canvas. Flexible rubber sole. White.,,TRUE,45,"16,1",
32,Canvas Slip-On — Black,650,,footwear,,Classic canvas. Flexible rubber sole. Black.,,TRUE,61,"16,2",
33,Canvas Slip-On — Red,650,,footwear,,Classic canvas. Flexible rubber sole. Red.,,TRUE,33,"16,3",
34,Canvas Slip-On — Navy,650,,footwear,,Classic canvas. Flexible rubber sole. Navy.,,TRUE,52,"16,4",
